,ChanIndx,CoarseChanNum,DEC,DriftRate,FileID,Freq,FreqEnd,FreqStart,FullNumHitsInRange,Hit_ID,MJD,ON_in_range,RA,RFI_in_range,SNR,Source,TopHitNum,delta_t,filename_fil,obs_run,status
0,805642.0,86.0,21d06m12.24s,-0.541917,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.702368,1380.703179,1380.701551,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,86.563305,HIP39826,271.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
1,806351.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.704378,1380.705189,1380.703562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,27.622311,HIP39826,272.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
2,806699.0,86.0,21d06m12.24s,-0.522211,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.705365,1380.706176,1380.704548,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,33.519754,HIP39826,273.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
3,807411.0,86.0,21d06m12.24s,-0.650301,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.707384,1380.708195,1380.706567,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,104.055438,HIP39826,274.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
4,807757.0,86.0,21d06m12.24s,-0.522211,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.708365,1380.709176,1380.707548,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,47.878437,HIP39826,275.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
5,808614.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.710795,1380.711606,1380.709978,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,53.79215,HIP39826,276.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
6,809318.0,86.0,21d06m12.24s,-0.512358,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.712791,1380.713602,1380.711975,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,63.168746,HIP39826,277.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
7,809880.0,86.0,21d06m12.24s,-0.650301,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.714385,1380.715196,1380.713568,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,76.073503,HIP39826,278.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
8,810583.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.716378,1380.717189,1380.715562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,89.773969,HIP39826,279.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
9,811082.0,86.0,21d06m12.24s,-0.512358,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.717793,1380.718604,1380.716976,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,113.797057,HIP39826,280.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
10,811641.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.719378,1380.720189,1380.718562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,190.951097,HIP39826,281.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
11,811995.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.720382,1380.721193,1380.719565,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,77.376299,HIP39826,282.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
12,813054.0,86.0,21d06m12.24s,-0.650301,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.723385,1380.724196,1380.722568,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,93.184549,HIP39826,283.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
13,813551.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.724794,1380.725605,1380.723977,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,76.306665,HIP39826,284.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
